state,year,Month,Unemployed_prct
Texas,1978,3,4.9
Utah,1978,3,4.1
Vermont,1978,3,5.8
Virginia,1978,3,5.3
Washington,1978,3,6.7
West Virginia,1978,3,6.3
Wisconsin,1978,3,4.9
Wyoming,1978,3,2.9
Alabama,1978,4,6.1
Alaska,1978,4,11
Arizona,1978,4,6.2
Arkansas,1978,4,6
California,1978,4,7.5
Los Angeles County,1978,4,7.4
Colorado,1978,4,5.8
Connecticut,1978,4,5.2
Delaware,1978,4,7.5
District of Columbia,1978,4,8.5
Florida,1978,4,6.8
Georgia,1978,4,5.6
Hawaii,1978,4,7.2
Idaho,1978,4,5.1
Illinois,1978,4,6.2
Indiana,1978,4,5.6
Iowa,1978,4,3.9
Kansas,1978,4,3.2
Kentucky,1978,4,5
Louisiana,1978,4,7.3
Maine,1978,4,6.3
Maryland,1978,4,5.5
Massachusetts,1978,4,6.3
Michigan,1978,4,6.8
Minnesota,1978,4,3.9
Mississippi,1978,4,7.2
Missouri,1978,4,5.2
Montana,1978,4,6.1
Nebraska,1978,4,3.4
Nevada,1978,4,4.3
New Hampshire,1978,4,4
New Jersey,1978,4,7.4
New Mexico,1978,4,5.8
New York,1978,4,7.9
New York city,1978,4,9.2
North Carolina,1978,4,4.5
North Dakota,1978,4,4.2
Ohio,1978,4,5.5
Oklahoma,1978,4,3.8
Oregon,1978,4,5.6
Pennsylvania,1978,4,7
Rhode Island,1978,4,6.8
South Carolina,1978,4,5.8
South Dakota,1978,4,3
Tennessee,1978,4,5.7
Texas,1978,4,4.8
Utah,1978,4,3.9
Vermont,1978,4,5.7
Virginia,1978,4,5.3
Washington,1978,4,6.7
West Virginia,1978,4,6
Wisconsin,1978,4,4.9
Wyoming,1978,4,2.9
Alabama,1978,5,6
Alaska,1978,5,10.9
Arizona,1978,5,6.1
Arkansas,1978,5,6
California,1978,5,7.4
Los Angeles County,1978,5,7.3
Colorado,1978,5,5.7
Connecticut,1978,5,5.1
Delaware,1978,5,7.5
District of Columbia,1978,5,8.5
Florida,1978,5,6.7
Georgia,1978,5,5.7
Hawaii,1978,5,7.2
Idaho,1978,5,5.2
Illinois,1978,5,6.1
Indiana,1978,5,5.6
Iowa,1978,5,3.8
Kansas,1978,5,3.1
Kentucky,1978,5,5
Louisiana,1978,5,7.1
Maine,1978,5,6.3
Maryland,1978,5,5.5
Massachusetts,1978,5,6.3
Michigan,1978,5,6.8
Minnesota,1978,5,3.8
Mississippi,1978,5,7.2
Missouri,1978,5,5
Montana,1978,5,5.9
Nebraska,1978,5,3.2
Nevada,1978,5,4.2
New Hampshire,1978,5,3.9
New Jersey,1978,5,7.3
New Mexico,1978,5,5.8
New York,1978,5,7.9
New York city,1978,5,9.1
North Carolina,1978,5,4.4
North Dakota,1978,5,4.1
Ohio,1978,5,5.4
Oklahoma,1978,5,3.6
Oregon,1978,5,5.7
Pennsylvania,1978,5,6.9
Rhode Island,1978,5,6.6
South Carolina,1978,5,5.9
South Dakota,1978,5,3.1
Tennessee,1978,5,5.8
Texas,1978,5,4.8
Utah,1978,5,3.8
Vermont,1978,5,5.6
Virginia,1978,5,5.3
Washington,1978,5,6.7
West Virginia,1978,5,5.8
Wisconsin,1978,5,4.9
Wyoming,1978,5,2.9
Alabama,1978,6,6
Alaska,1978,6,10.8
Arizona,1978,6,5.9
Arkansas,1978,6,6
California,1978,6,7.3
Los Angeles County,1978,6,7.1
Colorado,1978,6,5.6
Connecticut,1978,6,5.1
Delaware,1978,6,7.5
District of Columbia,1978,6,8.4
Florida,1978,6,6.7
Georgia,1978,6,5.8
Hawaii,1978,6,7.2
Idaho,1978,6,5.3
Illinois,1978,6,6
Indiana,1978,6,5.5
Iowa,1978,6,3.7
Kansas,1978,6,3
Kentucky,1978,6,5.1
Louisiana,1978,6,6.9
Maine,1978,6,6.2
Maryland,1978,6,5.4
Massachusetts,1978,6,6.2
Michigan,1978,6,6.8
Minnesota,1978,6,3.8
Mississippi,1978,6,7.1
Missouri,1978,6,4.9
Montana,1978,6,5.7
Nebraska,1978,6,3
Nevada,1978,6,4.2
New Hampshire,1978,6,3.9
New Jersey,1978,6,7.3
New Mexico,1978,6,5.8
New York,1978,6,7.8
New York city,1978,6,8.9
North Carolina,1978,6,4.3
North Dakota,1978,6,4.1
Ohio,1978,6,5.4
Oklahoma,1978,6,3.4
Oregon,1978,6,5.8
Pennsylvania,1978,6,6.8
Rhode Island,1978,6,6.5
South Carolina,1978,6,5.9
South Dakota,1978,6,3.1
Tennessee,1978,6,5.8
Texas,1978,6,4.7
Utah,1978,6,3.6
Vermont,1978,6,5.5
Virginia,1978,6,5.3
Washington,1978,6,6.7
West Virginia,1978,6,5.7
Wisconsin,1978,6,4.9
Wyoming,1978,6,3
Alabama,1978,7,6.1
Alaska,1978,7,10.7
Arizona,1978,7,5.8
Arkansas,1978,7,6.1
California,1978,7,7.1
Los Angeles County,1978,7,6.8
Colorado,1978,7,5.5
Connecticut,1978,7,5
Delaware,1978,7,7.4
District of Columbia,1978,7,8.3
Florida,1978,7,6.7
Georgia,1978,7,5.8
Hawaii,1978,7,7.2
Idaho,1978,7,5.4
Illinois,1978,7,5.9
Indiana,1978,7,5.5
Iowa,1978,7,3.7
Kansas,1978,7,2.9
Kentucky,1978,7,5.1
Louisiana,1978,7,6.7
Maine,1978,7,6.3
Maryland,1978,7,5.4
Massachusetts,1978,7,6.1
Michigan,1978,7,6.9
Minnesota,1978,7,3.7
Mississippi,1978,7,7
Missouri,1978,7,4.7
Montana,1978,7,5.6
Nebraska,1978,7,2.9
Nevada,1978,7,4.3
New Hampshire,1978,7,3.8
New Jersey,1978,7,7.2
New Mexico,1978,7,5.8
New York,1978,7,7.7
New York city,1978,7,8.9
North Carolina,1978,7,4.3
North Dakota,1978,7,4.1
Ohio,1978,7,5.3
Oklahoma,1978,7,3.2
Oregon,1978,7,6
Pennsylvania,1978,7,6.8
Rhode Island,1978,7,6.4
South Carolina,1978,7,5.9
South Dakota,1978,7,3.2
Tennessee,1978,7,5.9
Texas,1978,7,4.7
Utah,1978,7,3.5
Vermont,1978,7,5.5
Virginia,1978,7,5.3
Washington,1978,7,6.8
West Virginia,1978,7,5.8
Wisconsin,1978,7,4.9
Wyoming,1978,7,3.1
Alabama,1978,8,6.3
Alaska,1978,8,10.6
Arizona,1978,8,5.8
Arkansas,1978,8,6.2
California,1978,8,7
Los Angeles County,1978,8,6.5
Colorado,1978,8,5.4
Connecticut,1978,8,5
Delaware,1978,8,7.4
District of Columbia,1978,8,8.1
Florida,1978,8,6.7
Georgia,1978,8,5.8
Hawaii,1978,8,7.1
Idaho,1978,8,5.5
Illinois,1978,8,5.8
Indiana,1978,8,5.5
Iowa,1978,8,3.7
Kansas,1978,8,2.9
Kentucky,1978,8,5.2
Louisiana,1978,8,6.5
Maine,1978,8,6.3
Maryland,1978,8,5.4
Massachusetts,1978,8,6.1
Michigan,1978,8,6.9
Minnesota,1978,8,3.7
Mississippi,1978,8,6.9
Missouri,1978,8,4.6
Montana,1978,8,5.4
Nebraska,1978,8,2.8
Nevada,1978,8,4.4
New Hampshire,1978,8,3.7
New Jersey,1978,8,7.1
New Mexico,1978,8,5.9
New York,1978,8,7.6
New York city,1978,8,8.8
North Carolina,1978,8,4.3
North Dakota,1978,8,4.2
Ohio,1978,8,5.3
Oklahoma,1978,8,3.2
Oregon,1978,8,6.2
Pennsylvania,1978,8,6.8
Rhode Island,1978,8,6.3
South Carolina,1978,8,5.8
South Dakota,1978,8,3.2
Tennessee,1978,8,5.9
Texas,1978,8,4.7
Utah,1978,8,3.5
Vermont,1978,8,5.4
Virginia,1978,8,5.3
Washington,1978,8,6.8
West Virginia,1978,8,6
Wisconsin,1978,8,5
Wyoming,1978,8,3.2
Alabama,1978,9,6.4
Alaska,1978,9,10.4
Arizona,1978,9,5.7
Arkansas,1978,9,6.3
California,1978,9,6.9
Los Angeles County,1978,9,6.3
Colorado,1978,9,5.2
Connecticut,1978,9,5.1
Delaware,1978,9,7.3
District of Columbia,1978,9,8
Florida,1978,9,6.6
Georgia,1978,9,5.8
Hawaii,1978,9,7
Idaho,1978,9,5.7
Illinois,1978,9,5.7
Indiana,1978,9,5.5
Iowa,1978,9,3.8
Kansas,1978,9,3
Kentucky,1978,9,5.2
Louisiana,1978,9,6.3
Maine,1978,9,6.3
Maryland,1978,9,5.4
Massachusetts,1978,9,6
Michigan,1978,9,7
Minnesota,1978,9,3.8
Mississippi,1978,9,6.8
Missouri,1978,9,4.5
Montana,1978,9,5.3
Nebraska,1978,9,2.8
Nevada,1978,9,4.5
New Hampshire,1978,9,3.6
New Jersey,1978,9,7.1
New Mexico,1978,9,5.9
New York,1978,9,7.6
New York city,1978,9,8.8
North Carolina,1978,9,4.3
North Dakota,1978,9,4.2
Ohio,1978,9,5.4
Oklahoma,1978,9,3.2
Oregon,1978,9,6.4
Pennsylvania,1978,9,6.8
Rhode Island,1978,9,6.3
South Carolina,1978,9,5.6
South Dakota,1978,9,3.2
Tennessee,1978,9,6
Texas,1978,9,4.7
Utah,1978,9,3.5
Vermont,1978,9,5.4
Virginia,1978,9,5.3
Washington,1978,9,6.9
West Virginia,1978,9,6.2
Wisconsin,1978,9,5.1
Wyoming,1978,9,3.2
Alabama,1978,10,6.5
Alaska,1978,10,10.2
Arizona,1978,10,5.7
Arkansas,1978,10,6.4
California,1978,10,6.8
Los Angeles County,1978,10,6.2
Colorado,1978,10,5.1
Connecticut,1978,10,5.1
Delaware,1978,10,7.2
District of Columbia,1978,10,7.9
Florida,1978,10,6.6
Georgia,1978,10,5.8
Hawaii,1978,10,6.8
Idaho,1978,10,5.8
Illinois,1978,10,5.7
Indiana,1978,10,5.5
Iowa,1978,10,3.9
Kansas,1978,10,3
Kentucky,1978,10,5.2
Louisiana,1978,10,6.1
Maine,1978,10,6.3
Maryland,1978,10,5.5
Massachusetts,1978,10,6
Michigan,1978,10,7
Minnesota,1978,10,3.8
Mississippi,1978,10,6.7
Missouri,1978,10,4.5
Montana,1978,10,5.3
Nebraska,1978,10,2.8
Nevada,1978,10,4.6
New Hampshire,1978,10,3.5
New Jersey,1978,10,7
New Mexico,1978,10,6
New York,1978,10,7.5
New York city,1978,10,8.8
North Carolina,1978,10,4.3
North Dakota,1978,10,4.3
Ohio,1978,10,5.4
Oklahoma,1978,10,3.3
Oregon,1978,10,6.6
Pennsylvania,1978,10,6.8
Rhode Island,1978,10,6.2
South Carolina,1978,10,5.5
South Dakota,1978,10,3.2
Tennessee,1978,10,5.9
Texas,1978,10,4.7
Utah,1978,10,3.6
Vermont,1978,10,5.4
Virginia,1978,10,5.2
Washington,1978,10,6.9
West Virginia,1978,10,6.3
Wisconsin,1978,10,5.1
Wyoming,1978,10,3.1
Alabama,1978,11,6.6
Alaska,1978,11,10.1
Arizona,1978,11,5.7
Arkansas,1978,11,6.5
California,1978,11,6.7
Los Angeles County,1978,11,6.1
Colorado,1978,11,5
Connecticut,1978,11,5.2
Delaware,1978,11,7.2
District of Columbia,1978,11,7.9
Florida,1978,11,6.5
Georgia,1978,11,5.8
Hawaii,1978,11,6.7
Idaho,1978,11,5.9
Illinois,1978,11,5.6
Indiana,1978,11,5.5
Iowa,1978,11,4
Kansas,1978,11,3
Kentucky,1978,11,5.2
Louisiana,1978,11,5.9
Maine,1978,11,6.4
Maryland,1978,11,5.6
Massachusetts,1978,11,6
Michigan,1978,11,7.1
Minnesota,1978,11,3.8
Mississippi,1978,11,6.5
Missouri,1978,11,4.4
Montana,1978,11,5.2
Nebraska,1978,11,2.7
Nevada,1978,11,4.6
New Hampshire,1978,11,3.4
New Jersey,1978,11,7
New Mexico,1978,11,6.1
New York,1978,11,7.4
New York city,1978,11,8.8
North Carolina,1978,11,4.4
North Dakota,1978,11,4.3
Ohio,1978,11,5.5
Oklahoma,1978,11,3.4
Oregon,1978,11,6.8
Pennsylvania,1978,11,6.8
Rhode Island,1978,11,6.2
South Carolina,1978,11,5.4
South Dakota,1978,11,3.2
Tennessee,1978,11,5.9
Texas,1978,11,4.6
Utah,1978,11,3.7
Vermont,1978,11,5.4
Virginia,1978,11,5.2
Washington,1978,11,7
West Virginia,1978,11,6.3
Wisconsin,1978,11,5.1
Wyoming,1978,11,3
Alabama,1978,12,6.7
Alaska,1978,12,9.9
Arizona,1978,12,5.7
Arkansas,1978,12,6.5
California,1978,12,6.6
Los Angeles County,1978,12,6.1
Colorado,1978,12,4.9
Connecticut,1978,12,5.2
Delaware,1978,12,7.2
District of Columbia,1978,12,7.9
Florida,1978,12,6.5
Georgia,1978,12,5.7
Hawaii,1978,12,6.5
Idaho,1978,12,6
Illinois,1978,12,5.6
Indiana,1978,12,5.6
Iowa,1978,12,4
Kansas,1978,12,3.1
Kentucky,1978,12,5.2
Louisiana,1978,12,5.9
Maine,1978,12,6.4
Maryland,1978,12,5.7
Massachusetts,1978,12,6
Michigan,1978,12,7.1
Minnesota,1978,12,3.8
Mississippi,1978,12,6.3
Missouri,1978,12,4.3
Montana,1978,12,5.2
Nebraska,1978,12,2.7
Nevada,1978,12,4.7
New Hampshire,1978,12,3.3
New Jersey,1978,12,7
New Mexico,1978,12,6.2
New York,1978,12,7.3
New York city,1978,12,8.7
North Carolina,1978,12,4.5
North Dakota,1978,12,4.3
Ohio,1978,12,5.6
Oklahoma,1978,12,3.4
Oregon,1978,12,6.9
Pennsylvania,1978,12,6.8
Rhode Island,1978,12,6.2
South Carolina,1978,12,5.4
South Dakota,1978,12,3.2
Tennessee,1978,12,5.7
Texas,1978,12,4.6
Utah,1978,12,3.7
Vermont,1978,12,5.4
Virginia,1978,12,5.2
Washington,1978,12,7
West Virginia,1978,12,6.3
Wisconsin,1978,12,5
Wyoming,1978,12,2.9
Alabama,1980,1,7.3
Alaska,1980,1,9.1
Arizona,1980,1,5.7
Arkansas,1980,1,6.2
California,1980,1,6.1
Los Angeles County,1980,1,5.4
Colorado,1980,1,4.7
Connecticut,1980,1,5.1
Delaware,1980,1,7.1
District of Columbia,1980,1,6.4
Florida,1980,1,5.5
Georgia,1980,1,5.3
Hawaii,1980,1,5.2
Idaho,1980,1,6.4
Illinois,1980,1,6.6
Indiana,1980,1,8.1
Iowa,1980,1,4.7
Kansas,1980,1,3.6
Kentucky,1980,1,6.2
Louisiana,1980,1,6.8
Maine,1980,1,6.9
Maryland,1980,1,5.8
Massachusetts,1980,1,5.3
Michigan,1980,1,9.7
Minnesota,1980,1,5.1
Mississippi,1980,1,6.4
Missouri,1980,1,5.9
Montana,1980,1,5.5
Nebraska,1980,1,3.2
Nevada,1980,1,4.9
New Hampshire,1980,1,3.6
New Jersey,1980,1,6.5
New Mexico,1980,1,6.8
New York,1980,1,7.2
New York city,1980,1,8.4
North Carolina,1980,1,5.2
North Dakota,1980,1,4.1
Ohio,1980,1,6.2
Oklahoma,1980,1,3.2
Oregon,1980,1,6.6
Pennsylvania,1980,1,7.1
Rhode Island,1980,1,6.8
South Carolina,1980,1,5.4
South Dakota,1980,1,3.7
Tennessee,1980,1,6.1
Texas,1980,1,4.6
Utah,1980,1,5.1
Vermont,1980,1,5.4
Virginia,1980,1,4.5
Washington,1980,1,7
West Virginia,1980,1,8
Wisconsin,1980,1,5.2
Wyoming,1980,1,3.3
Alabama,1980,2,7.5
Alaska,1980,2,9.2
Arizona,1980,2,6.1
Arkansas,1980,2,6.4
California,1980,2,6.2
Los Angeles County,1980,2,5.5
Colorado,1980,2,4.8
Connecticut,1980,2,5.2
Delaware,1980,2,7.1
District of Columbia,1980,2,6.5
Florida,1980,2,5.5
Georgia,1980,2,5.6
Hawaii,1980,2,5
Idaho,1980,2,6.8
Illinois,1980,2,6.9
Indiana,1980,2,8.5
Iowa,1980,2,4.9
Kansas,1980,2,3.8
Kentucky,1980,2,6.6
Louisiana,1980,2,6.7
Maine,1980,2,7
Maryland,1980,2,6
Massachusetts,1980,2,5.4
Michigan,1980,2,10.4
Minnesota,1980,2,5.3
Mississippi,1980,2,6.5
Missouri,1980,2,6.1
Montana,1980,2,5.6
Nebraska,1980,2,3.3
Nevada,1980,2,5.1
New Hampshire,1980,2,3.7
New Jersey,1980,2,6.5
New Mexico,1980,2,7
New York,1980,2,7.2
New York city,1980,2,8.4
North Carolina,1980,2,5.4
North Dakota,1980,2,4.2
Ohio,1980,2,6.5
Oklahoma,1980,2,3.3
Oregon,1980,2,7
Pennsylvania,1980,2,7.3
Rhode Island,1980,2,6.9
South Carolina,1980,2,5.6
South Dakota,1980,2,4
Tennessee,1980,2,6.3
Texas,1980,2,4.7
Utah,1980,2,5.3
Vermont,1980,2,5.5
Virginia,1980,2,4.6
Washington,1980,2,7.2
West Virginia,1980,2,8.3
Wisconsin,1980,2,5.6
Wyoming,1980,2,3.4
Alabama,1980,3,7.8
Alaska,1980,3,9.4
Arizona,1980,3,6.4
Arkansas,1980,3,6.7
California,1980,3,6.4
Los Angeles County,1980,3,5.8
Colorado,1980,3,5.1
Connecticut,1980,3,5.3
Delaware,1980,3,7.1
District of Columbia,1980,3,6.6
Florida,1980,3,5.7
Georgia,1980,3,6
Hawaii,1980,3,4.9
Idaho,1980,3,7.2
Illinois,1980,3,7.2
Indiana,1980,3,9.1
Iowa,1980,3,5.2
Kansas,1980,3,4
Kentucky,1980,3,7
Louisiana,1980,3,6.7
Maine,1980,3,7.2
Maryland,1980,3,6.2
Massachusetts,1980,3,5.5
Michigan,1980,3,11.3
Minnesota,1980,3,5.5
Mississippi,1980,3,6.7
Missouri,1980,3,6.5
Montana,1980,3,5.8
Nebraska,1980,3,3.5
Nevada,1980,3,5.4
New Hampshire,1980,3,4
New Jersey,1980,3,6.6
New Mexico,1980,3,7.1
New York,1980,3,7.3
New York city,1980,3,8.5
North Carolina,1980,3,5.8
North Dakota,1980,3,4.4
Ohio,1980,3,7.1
Oklahoma,1980,3,3.4
Oregon,1980,3,7.5
Pennsylvania,1980,3,7.5
Rhode Island,1980,3,7
South Carolina,1980,3,5.9
South Dakota,1980,3,4.2
Tennessee,1980,3,6.6
Texas,1980,3,5
Utah,1980,3,5.6
Vermont,1980,3,5.7
Virginia,1980,3,4.8
Washington,1980,3,7.5
West Virginia,1980,3,8.6
Wisconsin,1980,3,6
Wyoming,1980,3,3.5
Alabama,1980,4,8.3
Alaska,1980,4,9.6
Arizona,1980,4,6.8
Arkansas,1980,4,7.1
California,1980,4,6.6
Los Angeles County,1980,4,6
Colorado,1980,4,5.4
Connecticut,1980,4,5.5
Delaware,1980,4,7.3
District of Columbia,1980,4,6.7
Florida,1980,4,5.9
Georgia,1980,4,6.4
Hawaii,1980,4,4.8
Idaho,1980,4,7.6
Illinois,1980,4,7.6
Indiana,1980,4,9.6
Iowa,1980,4,5.6
Kansas,1980,4,4.3
Kentucky,1980,4,7.4
Louisiana,1980,4,6.7
Maine,1980,4,7.4
Maryland,1980,4,6.5
Massachusetts,1980,4,5.6
Michigan,1980,4,12.2
Minnesota,1980,4,5.7
Mississippi,1980,4,7
Missouri,1980,4,6.9
Montana,1980,4,5.9
Nebraska,1980,4,3.7
Nevada,1980,4,5.7
New Hampshire,1980,4,4.3
New Jersey,1980,4,6.9
New Mexico,1980,4,7.3
New York,1980,4,7.4
New York city,1980,4,8.5
North Carolina,1980,4,6.2
North Dakota,1980,4,4.6
Ohio,1980,4,7.8
Oklahoma,1980,4,3.6
Oregon,1980,4,8.2
Pennsylvania,1980,4,7.9
Rhode Island,1980,4,7.1
South Carolina,1980,4,6.3
South Dakota,1980,4,4.5
Tennessee,1980,4,7
Texas,1980,4,5.1
Utah,1980,4,5.8
Vermont,1980,4,6
Virginia,1980,4,5.1
Washington,1980,4,7.8
West Virginia,1980,4,8.9
Wisconsin,1980,4,6.5
Wyoming,1980,4,3.5
Alabama,1980,5,8.8
Alaska,1980,5,9.8
Arizona,1980,5,7
Arkansas,1980,5,7.5
California,1980,5,6.9
Los Angeles County,1980,5,6.4
Colorado,1980,5,5.7
Connecticut,1980,5,5.7
Delaware,1980,5,7.5
District of Columbia,1980,5,6.9
Florida,1980,5,6
Georgia,1980,5,6.8
Hawaii,1980,5,4.9
Idaho,1980,5,7.9
Illinois,1980,5,8.1
Indiana,1980,5,10.2
Iowa,1980,5,6
Kansas,1980,5,4.6
Kentucky,1980,5,7.8
Louisiana,1980,5,6.6
Maine,1980,5,7.6
Maryland,1980,5,6.7
Massachusetts,1980,5,5.7
Michigan,1980,5,12.9
Minnesota,1980,5,5.9
Mississippi,1980,5,7.2
Missouri,1980,5,7.3
Montana,1980,5,6.1
Nebraska,1980,5,3.9
Nevada,1980,5,6.1
New Hampshire,1980,5,4.6
New Jersey,1980,5,7.2
New Mexico,1980,5,7.5
New York,1980,5,7.5
New York city,1980,5,8.5
North Carolina,1980,5,6.6
North Dakota,1980,5,4.9
Ohio,1980,5,8.5
Oklahoma,1980,5,3.8
Oregon,1980,5,8.8
Pennsylvania,1980,5,8.2
Rhode Island,1980,5,7.2
South Carolina,1980,5,6.7
South Dakota,1980,5,4.8
Tennessee,1980,5,7.3
Texas,1980,5,5.3
Utah,1980,5,6.1
Vermont,1980,5,6.2
Virginia,1980,5,5.3
Washington,1980,5,8.1
West Virginia,1980,5,9.3
Wisconsin,1980,5,6.8
Wyoming,1980,5,3.6
Alabama,1980,6,9.2
Alaska,1980,6,10
Arizona,1980,6,7.1
Arkansas,1980,6,7.8
California,1980,6,7.1
Los Angeles County,1980,6,6.7
Colorado,1980,6,6
Connecticut,1980,6,5.9
Delaware,1980,6,7.7
District of Columbia,1980,6,7.1
Florida,1980,6,6.2
Georgia,1980,6,7.1
Hawaii,1980,6,5
Idaho,1980,6,8.1
Illinois,1980,6,8.4
Indiana,1980,6,10.5
Iowa,1980,6,6.4
Kansas,1980,6,4.7
Kentucky,1980,6,8.1
Louisiana,1980,6,6.6
Maine,1980,6,7.8
Maryland,1980,6,6.9
Massachusetts,1980,6,5.8
Michigan,1980,6,13.4
Minnesota,1980,6,6
Mississippi,1980,6,7.4
Missouri,1980,6,7.6
Montana,1980,6,6.2
Nebraska,1980,6,4.1
Nevada,1980,6,6.4
New Hampshire,1980,6,4.8
New Jersey,1980,6,7.4
New Mexico,1980,6,7.6
New York,1980,6,7.6
New York city,1980,6,8.5
North Carolina,1980,6,6.9
North Dakota,1980,6,5.2
Ohio,1980,6,9.1
Oklahoma,1980,6,5.2
Oregon,1980,6,9.2
Pennsylvania,1980,6,8.5
Rhode Island,1980,6,7.3
South Carolina,1980,6,7.1
South Dakota,1980,6,5
Tennessee,1980,6,7.6
Texas,1980,6,5.3
Utah,1980,6,6.3
Vermont,1980,6,6.5
Virginia,1980,6,5.5
Washington,1980,6,8.3
West Virginia,1980,6,9.7
Wisconsin,1980,6,7.1
Wyoming,1980,6,3.8
Alabama,1980,7,9.5
Alaska,1980,7,10
Arizona,1980,7,7.2
Arkansas,1980,7,8
California,1980,7,7.2
Los Angeles County,1980,7,6.9
Colorado,1980,7,6.3
Connecticut,1980,7,6.1
Delaware,1980,7,7.9
District of Columbia,1980,7,7.4
Florida,1980,7,6.3
Georgia,1980,7,7.1
Hawaii,1980,7,5
Idaho,1980,7,8.1
Illinois,1980,7,8.7
Indiana,1980,7,10.6
Iowa,1980,7,6.7
Kansas,1980,7,4.8
Kentucky,1980,7,8.4
Louisiana,1980,7,6.6
Maine,1980,7,7.9
Maryland,1980,7,6.9
Massachusetts,1980,7,5.8
Michigan,1980,7,13.6
Minnesota,1980,7,6.1
Mississippi,1980,7,7.6
Missouri,1980,7,7.8
